Article#,Article Status,Stock Available,MOP,NLC,PED,m,c,Price,Units,Discount,Discount_Per,Discount_Per_Unit,GP_per_unit,GP,GMV,GP_PER
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30441.0,548,6540.0,17.68,11.93,-0.27000000000043656,-147.96000000023923,16681668.0,-0.0
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30541.0,539,6440.0,17.41,11.95,99.72999999999956,53754.46999999977,16461599.0,0.33
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30641.0,529,6340.0,17.14,11.98,199.72999999999956,105657.16999999977,16209089.0,0.65
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30741.0,519,6240.0,16.87,12.02,299.72999999999956,155559.86999999976,15954579.0,0.98
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30841.0,510,6140.0,16.6,12.04,399.72999999999956,203862.29999999978,15728910.0,1.3
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,30941.0,500,6040.0,16.33,12.08,499.72999999999956,249864.99999999977,15470500.0,1.62
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31041.0,490,5940.0,16.06,12.12,599.7299999999996,293867.6999999998,15210090.0,1.93
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31141.0,480,5840.0,15.79,12.17,699.7299999999996,335870.3999999998,14947680.0,2.25
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31241.0,471,5740.0,15.52,12.19,799.7299999999996,376672.8299999998,14714511.0,2.56
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31341.0,461,5640.0,15.25,12.23,899.7299999999996,414775.5299999998,14448201.0,2.87
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31441.0,451,5540.0,14.98,12.28,999.7299999999996,450878.2299999998,14179891.0,3.18
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31541.0,441,5440.0,14.71,12.34,1099.7299999999996,484980.9299999998,13909581.0,3.49
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31641.0,432,5340.0,14.44,12.36,1199.7299999999996,518283.3599999998,13668912.0,3.79
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31741.0,422,5240.0,14.17,12.42,1299.7299999999996,548486.0599999998,13394702.0,4.09
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31841.0,412,5140.0,13.9,12.48,1399.7299999999996,576688.7599999998,13118492.0,4.4
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,31941.0,403,5040.0,13.63,12.51,1499.7299999999996,604391.1899999998,12872223.0,4.7
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32041.0,393,4940.0,13.36,12.57,1599.7299999999996,628693.8899999998,12592113.0,4.99
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32141.0,383,4840.0,13.09,12.64,1699.7299999999996,650996.5899999999,12310003.0,5.29
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32241.0,373,4740.0,12.82,12.71,1799.7299999999996,671299.2899999998,12025893.0,5.58
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32341.0,364,4640.0,12.55,12.75,1899.7299999999996,691501.7199999999,11772124.0,5.87
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32441.0,354,4540.0,12.28,12.82,1999.7299999999996,707904.4199999998,11484114.0,6.16
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32541.0,344,4440.0,12.01,12.91,2099.7299999999996,722307.1199999999,11194104.0,6.45
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32641.0,334,4340.0,11.74,12.99,2199.7299999999996,734709.8199999998,10902094.0,6.74
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32741.0,325,4240.0,11.47,13.05,2299.7299999999996,747412.2499999999,10640825.0,7.02
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32841.0,315,4140.0,11.19,13.14,2399.7299999999996,755914.9499999998,10344915.0,7.31
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,32941.0,305,4040.0,10.92,13.25,2499.7299999999996,762417.6499999999,10047005.0,7.59
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33041.0,296,3940.0,10.65,13.31,2599.7299999999996,769520.0799999998,9780136.0,7.87
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33141.0,286,3840.0,10.38,13.43,2699.7299999999996,772122.7799999999,9478326.0,8.15
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33241.0,276,3740.0,10.11,13.55,2799.7299999999996,772725.4799999999,9174516.0,8.42
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33341.0,266,3640.0,9.84,13.68,2899.7299999999996,771328.1799999999,8868706.0,8.7
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33441.0,257,3540.0,9.57,13.77,2999.7299999999996,770930.6099999999,8594337.0,8.97
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33541.0,247,3440.0,9.3,13.93,3099.7299999999996,765633.3099999999,8284627.0,9.24
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33641.0,237,3340.0,9.03,14.09,3199.7299999999996,758336.0099999999,7972917.0,9.51
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33741.0,227,3240.0,8.76,14.27,3299.7299999999996,749038.7099999998,7659207.0,9.78
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33841.0,218,3140.0,8.49,14.4,3399.7299999999996,741141.1399999999,7377338.0,10.05
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,33941.0,208,3040.0,8.22,14.62,3499.7299999999996,727943.8399999999,7059728.0,10.31
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34041.0,198,2940.0,7.95,14.85,3599.7299999999996,712746.5399999999,6740118.0,10.57
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34141.0,189,2840.0,7.68,15.03,3699.7299999999996,699248.97,6452649.0,10.84
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34241.0,179,2740.0,7.41,15.31,3799.7299999999996,680151.6699999999,6129139.0,11.1
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34341.0,169,2640.0,7.14,15.62,3899.7299999999996,659054.3699999999,5803629.0,11.36
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34441.0,159,2540.0,6.87,15.97,3999.7299999999996,635957.07,5476119.0,11.61
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34541.0,150,2440.0,6.6,16.27,4099.73,614959.4999999999,5181150.0,11.87
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34641.0,140,2340.0,6.33,16.71,4199.73,587962.2,4849740.0,12.12
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34741.0,130,2240.0,6.06,17.23,4299.73,558964.8999999999,4516330.0,12.38
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34841.0,120,2140.0,5.79,17.83,4399.73,527967.6,4180920.0,12.63
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,34941.0,111,2040.0,5.52,18.38,4499.73,499470.02999999997,3878451.0,12.88
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35041.0,101,1940.0,5.25,19.21,4599.73,464572.73,3539141.0,13.13
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35141.0,91,1840.0,4.98,20.22,4699.73,427675.42999999993,3197831.0,13.37
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35241.0,82,1740.0,4.71,21.22,4799.73,393577.86,2889762.0,13.62
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35341.0,72,1640.0,4.43,22.78,4899.73,352780.55999999994,2544552.0,13.86
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35441.0,62,1540.0,4.16,24.84,4999.73,309983.25999999995,2197342.0,14.11
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35541.0,52,1440.0,3.89,27.69,5099.73,265185.95999999996,1848132.0,14.35
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35641.0,43,1340.0,3.62,31.16,5199.73,223588.38999999998,1532563.0,14.59
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35741.0,33,1240.0,3.35,37.58,5299.73,174891.09,1179453.0,14.83
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35841.0,23,1140.0,3.08,49.57,5399.73,124193.79,824343.0,15.07
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,35941.0,13,1040.0,2.81,80.0,5499.73,71496.48999999999,467233.0,15.3
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36041.0,4,940.0,2.54,235.0,5599.73,22398.92,144164.0,15.54
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36141.0,-5,840.0,2.27,-168.0,5699.73,-28498.649999999998,-180705.0,15.77
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36241.0,-15,740.0,2.0,-49.33,5799.73,-86995.95,-543615.0,16.0
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36341.0,-24,640.0,1.73,-26.67,5899.73,-141593.52,-872184.0,16.23
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36441.0,-34,540.0,1.46,-15.88,5999.73,-203990.81999999998,-1238994.0,16.46
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36541.0,-44,440.0,1.19,-10.0,6099.73,-268388.12,-1607804.0,16.69
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36641.0,-54,340.0,0.92,-6.3,6199.73,-334785.42,-1978614.0,16.92
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36741.0,-63,240.0,0.65,-3.81,6299.73,-396882.99,-2314683.0,17.15
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36841.0,-73,140.0,0.38,-1.92,6399.73,-467180.29,-2689393.0,17.37
Bosch,Active,1000,36981,30441.27,-17.81673452,-0.097279028,3510.261825,36941.0,-83,40.0,0.11,-0.48,6499.73,-539477.59,-3066103.0,17.59
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,16653.0,121,2421.0,12.69,20.01,-0.5600000000013097,-67.76000000015847,2015013.0,-0.0
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,16753.0,118,2321.0,12.17,19.67,99.43999999999869,11733.919999999845,1976854.0,0.59
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,16853.0,115,2221.0,11.64,19.31,199.4399999999987,22935.59999999985,1938095.0,1.18
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,16953.0,112,2121.0,11.12,18.94,299.4399999999987,33537.27999999985,1898736.0,1.77
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17053.0,109,2021.0,10.6,18.54,399.4399999999987,43538.95999999986,1858777.0,2.34
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17153.0,106,1921.0,10.07,18.12,499.4399999999987,52940.63999999986,1818218.0,2.91
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17253.0,104,1821.0,9.55,17.51,599.4399999999987,62341.759999999864,1794312.0,3.47
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17353.0,101,1721.0,9.02,17.04,699.4399999999987,70643.43999999987,1752653.0,4.03
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17453.0,98,1621.0,8.5,16.54,799.4399999999987,78345.11999999988,1710394.0,4.58
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17553.0,95,1521.0,7.97,16.01,899.4399999999987,85446.79999999987,1667535.0,5.12
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17653.0,92,1421.0,7.45,15.45,999.4399999999987,91948.47999999988,1624076.0,5.66
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17753.0,89,1321.0,6.93,14.84,1099.4399999999987,97850.15999999989,1580017.0,6.19
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17853.0,87,1221.0,6.4,14.03,1199.4399999999987,104351.27999999988,1553211.0,6.72
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,17953.0,84,1121.0,5.88,13.35,1299.4399999999987,109152.95999999989,1508052.0,7.24
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18053.0,81,1021.0,5.35,12.6,1399.4399999999987,113354.6399999999,1462293.0,7.75
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18153.0,78,921.0,4.83,11.81,1499.4399999999987,116956.31999999989,1415934.0,8.26
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18253.0,75,821.0,4.3,10.95,1599.4399999999987,119957.9999999999,1368975.0,8.76
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18353.0,72,721.0,3.78,10.01,1699.4399999999987,122359.6799999999,1321416.0,9.26
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18453.0,70,621.0,3.26,8.87,1799.4399999999987,125960.7999999999,1291710.0,9.75
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18553.0,67,521.0,2.73,7.78,1899.4399999999987,127262.47999999991,1243051.0,10.24
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18653.0,64,421.0,2.21,6.58,1999.4399999999987,127964.15999999992,1193792.0,10.72
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18753.0,61,321.0,1.68,5.26,2099.4399999999987,128065.83999999992,1143933.0,11.2
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18853.0,58,221.0,1.16,3.81,2199.4399999999987,127567.51999999993,1093474.0,11.67
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,18953.0,55,121.0,0.63,2.2,2299.4399999999987,126469.19999999992,1042415.0,12.13
Haier,Active,1000,19074,16653.56,-6.981557646,-0.028385721,593.8278889,19053.0,52,21.0,0.11,0.4,2399.4399999999987,124770.87999999993,990756.0,12.59
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,29976.0,433,4060.0,11.93,9.38,-0.22999999999956344,-99.58999999981097,12979608.0,-0.0
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30076.0,421,3960.0,11.63,9.41,99.77000000000044,42003.17000000019,12661996.0,0.33
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30176.0,410,3860.0,11.34,9.41,199.77000000000044,81905.70000000019,12372160.0,0.66
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30276.0,398,3760.0,11.05,9.45,299.77000000000044,119308.46000000017,12049848.0,0.99
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30376.0,386,3660.0,10.75,9.48,399.77000000000044,154311.22000000018,11725136.0,1.32
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30476.0,374,3560.0,10.46,9.52,499.77000000000044,186913.98000000016,11398024.0,1.64
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30576.0,363,3460.0,10.17,9.53,599.7700000000004,217716.51000000015,11099088.0,1.96
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30676.0,351,3360.0,9.87,9.57,699.7700000000004,245619.27000000016,10767276.0,2.28
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30776.0,339,3260.0,9.58,9.62,799.7700000000004,271122.03000000014,10433064.0,2.6
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30876.0,327,3160.0,9.28,9.66,899.7700000000004,294224.79000000015,10096452.0,2.91
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,30976.0,316,3060.0,8.99,9.68,999.7700000000004,315927.3200000001,9788416.0,3.23
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31076.0,304,2960.0,8.7,9.74,1099.7700000000004,334330.08000000013,9447104.0,3.54
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31176.0,292,2860.0,8.4,9.79,1199.7700000000004,350332.84000000014,9103392.0,3.85
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31276.0,280,2760.0,8.11,9.86,1299.7700000000004,363935.6000000001,8757280.0,4.16
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31376.0,269,2660.0,7.82,9.89,1399.7700000000004,376538.1300000001,8440144.0,4.46
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31476.0,257,2560.0,7.52,9.96,1499.7700000000004,385440.89000000013,8089332.0,4.76
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31576.0,245,2460.0,7.23,10.04,1599.7700000000004,391943.6500000001,7736120.0,5.07
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31676.0,233,2360.0,6.93,10.13,1699.7700000000004,396046.4100000001,7380508.0,5.37
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31776.0,222,2260.0,6.64,10.18,1799.7700000000004,399548.9400000001,7054272.0,5.66
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31876.0,210,2160.0,6.35,10.29,1899.7700000000004,398951.70000000007,6693960.0,5.96
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,31976.0,198,2060.0,6.05,10.4,1999.7700000000004,395954.4600000001,6331248.0,6.25
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,32076.0,186,1960.0,5.76,10.54,2099.7700000000004,390557.2200000001,5966136.0,6.55
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,32176.0,175,1860.0,5.46,10.63,2199.7700000000004,384959.75000000006,5630800.0,6.84
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,32276.0,163,1760.0,5.17,10.8,2299.7700000000004,374862.51000000007,5260988.0,7.13
